Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
8/01/2000 16:00,3.3,120,6202,248,6.7,465,29.8,60888,6089,Fair
8/01/2000 17:00,3.4,80,4886,195,5.64,437,25.1,47968,5660,Fair
8/01/2000 18:00,3.8,79,4294,172,5.73,378,22.8,42156,4861,Fair
8/01/2000 19:00,3.9,81,4064,163,5.71,359,21.9,39898,4555,Fair
8/01/2000 20:00,4.2,82,3810,152,5.93,323,20.9,37397,4122,Fair
8/01/2000 21:00,4.3,86,2317,93,3.84,307,14.6,22742,2553,Fair
8/01/2000 22:00,4.3,82,2200,88,3.64,308,14.1,21594,2401,Fair
8/01/2000 23:00,4.8,78,1711,68,3.42,256,11.7,16792,1971,Fair
9/01/2000 0:00,6.5,82,690,28,2.21,165,6.1,6774,783,Fair
9/01/2000 1:00,8.3,69,519,21,2.36,115,5,5092,472,Fair
9/01/2000 2:00,9.8,67,417,17,2.44,90,4.2,4095,352,Fair
9/01/2000 3:00,10.8,58,496,20,3.35,76,4.8,4873,395,Fair
9/01/2000 4:00,11.8,66,362,14,2.75,68,3.8,3554,286,Fair
9/01/2000 5:00,11.9,69,338,14,2.63,67,3.6,3319,258,Fair
9/01/2000 6:00,12.5,66,325,13,2.7,63,3.5,3192,243,Fair
9/01/2000 7:00,13.3,60,394,16,3.58,56,4.1,3868,270,Fair
9/01/2000 8:00,11.7,40,414,17,3.14,68,4.2,4061,305,Fair
9/01/2000 9:00,9.9,50,488,20,2.86,88,4.7,4788,435,Fair
